NO;BRANCH;SITE ID;SITE NAME;CHANNEL TYPE;GRADE STORE;GOLD;SILVER;BROWN;TOTAL;GOLD;SILVER;TOTAL
30;JAKARTA KAM;C000058828;CARREFOUR ITC DEPOK;MODERN;B1; 1 ;1;; 2 ; 139.682.288 ; 71.024.503 ; 210.706.791 
31;JAKARTA KAM;C000058829;CARREFOUR MTH CAWANG;MODERN;B1; 1 ;1;; 2 ; 82.845.541 ; 43.734.248 ; 126.579.789 
32;JAKARTA KAM;C000058830;CARREFOUR CIBINONG;MODERN;B1;;;1; 1 ; 24.772.776 ; 5.090.924 ; 29.863.700 
33;JAKARTA KAM;C000058831;CARREFOUR CBD CILEDUG;MODERN;B1; 1 ;1;; 2 ; 116.191.199 ; 56.384.423 ; 172.575.622 
34;JAKARTA KAM;C000058834;CARREFOUR BUARAN;MODERN;B1; 1 ;1;; 2 ; 174.548.481 ; 76.381.755 ; 250.930.236 
35;JAKARTA KAM;C000058838;CARREFOUR EMPORIUM PLUIT;MODERN;B1;;;1; 1 ; 116.273.232 ; 36.595.345 ; 152.868.577 
36;JAKARTA KAM;C000058839;CARREFOUR CENTRAL PARK;MODERN;B1; 1 ;1;; 2 ; 202.372.992 ; 92.658.395 ; 295.031.387 
37;JAKARTA KAM;C000058840;CARREFOUR SERANG;MODERN;B1;;;1; 1 ; 115.873.667 ; 9.443.651 ; 125.317.318 
38;BANDUNG;C000058842;CARREFOUR KIARA CONDONG;MODERN;B1;;;1; 1 ; 44.454.647 ; 31.220.935 ; 75.675.582 
39;MEDAN;C000058846;CARREFOUR MEDAN FAIR PLAZA;MODERN;B1; 2 ;1;; 3 ; 236.518.960 ; 101.733.908 ; 338.252.868 
40;PALEMBANG;C000058848;CARREFOUR PALEMBANG SQUARE;MODERN;B1; 1 ;1;; 2 ; 163.473.251 ; 82.243.070 ; 245.716.321 
41;BALI;C000058850;CARREFOUR DENPASAR;MODERN;B1;;;1; 1 ; 235.000.691 ; 45.536.394 ; 280.537.085 
42;SEMARANG;C000058854;CARREFOUR TRANSMART SRONDOL;MODERN;A;;;1; 1 ; 26.681.909 ; 11.062.208 ; 37.744.117 
43;SEMARANG;C000058860;CENTRAL JAYA ELECTRONIC;TRADITIONAL;A; 2 ;1;; 3 ; 451.365.429 ; 470.736.805 ; 922.102.234 
44;MAKASSAR;C000058862;CENTRO ELEKTRONIK MAKASSAR;TRADITIONAL;A;;;1; 1 ; 255.273.433 ; 325.551.804 ; 580.825.237 
45;YOGYAKARTA;C000058901;34;TRADITIONAL;A;;;1; 1 ; 78.945.772 ; 113.379.825 ; 192.325.597 
46;MANADO;C000058919;CV. BENUA;TRADITIONAL;B1; 1 ;1;; 2 ; 180.082.500 ; 217.177.208 ; 397.259.708 
47;SEMARANG;C000058932;SINAR TEGAL;TRADITIONAL;A; 1 ;1;; 2 ; 304.055.705 ; 322.154.633 ; 626.210.338 
48;MEDAN;C000058933;SINAR ELECTRONICS;TRADITIONAL;A; 1 ;1;; 2 ; 465.457.042 ; 486.162.508 ; 951.619.550 
49;MEDAN;C000058934;SONY ELECTRONIC BANDA ACEH;TRADITIONAL;A;;;1; 1 ; 15.818.238 ; 32.959.899 ; 48.778.137 
50;SURABAYA;C000058941;BANDUNG ELEKTRONIK HAYAMWURUK;TRADITIONAL;A; 2 ;1;; 3 ; 305.337.852 ; 453.781.538 ; 759.119.390 
51;JAKARTA;C000058943;CV. BERKAT USAHA MANDIRI;TRADITIONAL;A;;;1; 1 ; 611.680.832 ; 201.238.052 ; 812.918.884 
52;MEDAN;C000058945;BINTANG MUTIARA ELECTRONICS;TRADITIONAL;A;;;1; 1 ; 52.214.713 ; 142.666.155 ; 194.880.868 
53;MEDAN;C000058949;BINTANG MUTIARA;TRADITIONAL;A;;;1; 1 ; 130.291.284 ; 181.380.882 ; 311.672.166 
54;JAKARTA;C000058951;CHANDRA SUPERSTAR;TRADITIONAL;A; 2 ;2;; 4 ; 582.375.633 ; 399.278.299 ; 981.653.932 
55;SURABAYA;C000058964;MIAMI;TRADITIONAL;B1;;;1; 1 ; 159.546.011 ; 109.823.384 ; 269.369.395 
56;SEMARANG;C000058973;STAR;TRADITIONAL;A;;;1; 1 ; 81.908.349 ; 74.697.237 ; 156.605.586 
57;MEDAN;C000058982;MEMORY ELECTRONICS MEDAN;TRADITIONAL;A; 2 ;2;; 4 ; 854.070.951 ; 847.167.646 ; 1.701.238.597 
58;MAKASSAR;C000058985;DAMAI;TRADITIONAL;A;;;1; 1 ; 80.317.786 ; 250.451.353 ; 330.769.139 
59;JAKARTA KAM;C000059036;ELECTRONIC CITY PURI INDAH MALL;MODERN;A; 3 ;2;; 5 ; 1.333.814.826 ; 504.367.005 ; 1.838.181.831 
60;JAKARTA KAM;C000059037;ELECTRONIC CITY SCBD;MODERN;B1; 5 ;4;; 9 ; 1.841.241.856 ; 946.479.419 ; 2.787.721.275 
61;JAKARTA KAM;C000059038;ELECTRONIC CITY MALL ARTHA GADING;MODERN;B1; 4 ;3;; 7 ; 969.908.171 ; 331.221.360 ; 1.301.129.531 
62;JAKARTA KAM;C000059039;ELECTRONIC CITY BOTANI SQUARE;MODERN;B1; 5 ;3;; 8 ; 918.664.728 ; 713.971.553 ; 1.632.636.281 
63;JAKARTA KAM;C000059040;ELECTRONIC CITY SUPERMALL KARAWACI;MODERN;A; 3 ;4;; 7 ; 660.689.148 ; 304.788.147 ; 965.477.295 
64;JAKARTA KAM;C000059041;ELECTRONIC CITY MARGO CITY MALL;MODERN;B1; 3 ;3;; 6 ; 447.881.965 ; 294.222.745 ; 742.104.710 
65;MEDAN;C000059043;ELECTRONIC CITY MEDAN FAIR PLAZA;MODERN;A; 1 ;1;; 2 ; 226.121.256 ; 157.448.378 ; 383.569.634 
66;JAKARTA KAM;C000059045;ELECTRONIC CITY BEKASI SQUARE;MODERN;B1; 1 ;1;; 2 ; 155.981.943 ; 128.428.560 ; 284.410.503 
67;BALI;C000059047;ELECTRONIC CITY DISCOVERY SHOPPING MALL;MODERN;B1;;;1; 1 ; 60.609.296 ; 6.009.404 ; 66.618.700 
68;JAKARTA KAM;C000059048;ELECTRONIC CITY MALL METROPOLITAN BEKASI;MODERN;B1; 2 ;2;; 4 ; 554.355.219 ; 350.587.298 ; 904.942.517 
69;MAKASSAR;C000059057;ERUTHA DJAYA BULUSARAUNG;TRADITIONAL;A; 3 ;3;; 6 ; 1.327.877.381 ; 1.991.644.377 ; 3.319.521.758 
70;BANDUNG;C000059061;FEDERAL;TRADITIONAL;A; 1 ;1;; 2 ; 301.701.142 ; 205.787.186 ; 507.488.328 
71;BALI;C000059064;BUMI MAS TABANAN;TRADITIONAL;B1;;;1; 1 ; 287.455.793 ; 199.718.874 ; 487.174.667 
72;JAKARTA KAM;C000059075;GIANT MEGA MASS MERCHANTMALL BEKASI;MODERN;B1; 1 ;1;; 2 ; 227.664.472 ; 52.285.474 ; 279.949.946 
73;JAKARTA KAM;C000059078;GIANT PONDOK GEDE;MODERN;B1;;;1; 1 ; 27.909.192 ; 43.609.016 ; 71.518.208 
74;JAKARTA KAM;C000059079;GIANT CIMANGGIS;MODERN;B1;;;1; 1 ; 93.782.079 ; 26.231.959 ; 120.014.038 
75;JAKARTA KAM;C000059080;GIANT KALIBATA PLAZA;MODERN;B2;;;1; 1 ; 30.963.751 ; 8.779.050 ; 39.742.801 
76;JAKARTA KAM;C000059082;GIANT CILEDUG;MODERN;B1;;;1; 1 ; 70.327.617 ; 58.952.889 ; 129.280.506 
77;JAKARTA KAM;C000059084;GIANT JASMIN;MODERN;B1;;;1; 1 ; 89.654.895 ; 46.491.192 ; 136.146.087 
78;JAKARTA KAM;C000059085;GIANT UJUNG MENTENG;MODERN;B1;;;1; 1 ; 40.817.593 ; 16.104.529 ; 56.922.122 
79;JAKARTA KAM;C000059087;GIANT BINTARO;MODERN;B1; 1 ;1;; 2 ; 121.791.329 ; 100.850.339 ; 222.641.668 
80;JAKARTA KAM;C000059088;GIANT PAMULANG SQUARE;MODERN;B1; 1 ;1;; 2 ; 167.446.064 ; 67.063.387 ; 234.509.451 
81;JAKARTA KAM;C000059090;GIANT JATI ASIH;MODERN;B1;;;1; 1 ; 32.045.666 ; 32.973.718 ; 65.019.384 
82;JAKARTA KAM;C000059099;GIANT BSD;MODERN;B1;;;1; 1 ; 69.045.754 ; 37.802.217 ; 106.847.971 
83;JAKARTA KAM;C000059101;GIANT CITRA RAYA;MODERN;B1; 1 ;1;; 2 ; 150.245.842 ; 137.996.321 ; 288.242.163 
84;BANDUNG;C000059104;GIANT PURWAKARTA;MODERN;B1;;;1; 1 ; 121.718.473 ; 16.689.596 ; 138.408.069 
85;SEMARANG;C000059109;GLOBAL MATARAM;TRADITIONAL;A; 2 ;2;; 4 ; 771.303.463 ; 626.765.247 ; 1.398.068.710 
86;SEMARANG;C000059110;GLOBAL PANDANARAN;TRADITIONAL;A; 2 ;2;; 4 ; 638.956.799 ; 690.452.679 ; 1.329.409.478 
87;BALI;C000059111;GRAHA ELECTRONICS;TRADITIONAL;A; 2 ;1;; 3 ; 676.335.821 ; 382.101.727 ; 1.058.437.548 
88;JAKARTA KAM;C000059131;HYPERMART SUPERMALL KARAWACI;MODERN;B1;;;1; 1 ; 224.818.141 ; 55.455.046 ; 280.273.187 
89;JAKARTA KAM;C000059137;HYPERMART GAJAH MADA PLAZA;MODERN;B1;;;1; 1 ; 149.955.016 ; 9.610.424 ; 159.565.440 
90;JAKARTA KAM;C000059138;HYPERMART GRAND MALL - BEKASI;MODERN;B3;;;1; 1 ; 58.045.665 ; 40.966.770 ; 99.012.435 
91;JAKARTA KAM;C000059139;HYPERMART MALL PURI MATAHARI;MODERN;B1;;;1; 1 ; 193.545.564 ; 72.504.362 ; 266.049.926 
92;JAKARTA KAM;C000059141;HYPERMART LIPPO CITY;MODERN;B1;;;1; 1 ; 170.318.874 ; 54.604.618 ; 224.923.492 
93;JAKARTA KAM;C000059142;HYPERMART PURI PARAGON CITY;MODERN;B1;;;1; 1 ; 211.045.536 ; 56.441.272 ; 267.486.808 
94;JAKARTA KAM;C000059143;HYPERMART PONDOK GEDE PLAZA;MODERN;B2;;;1; 1 ; 163.136.272 ; 46.369.348 ; 209.505.620 
95;MEDAN;C000059151;HYPERMART SUN PLAZA;MODERN;D;;;1; 1 ; 32.591.084 ; -   ; 32.591.084 
96;PALEMBANG;C000059156;HYPERMART PALEMBANG INDAH MALL;MODERN;B2;;;1; 1 ; 35.954.745 ; -   ; 35.954.745 
97;MANADO;C000059163;HYPERMART MANADO;MODERN;B2;;;1; 1 ; 66.454.992 ; -   ; 66.454.992 
98;BALI;C000059164;HYPERMART BALI;MODERN;C1;;;1; 1 ; 23.136.536 ; -   ; 23.136.536 
99;JAKARTA KAM;C000059170;HYPERMART CYBERPARK KARAWACI;MODERN;B2;;;1; 1 ; 113.317.925 ; 15.572.260 ; 128.890.185 
100;JAKARTA;C000059176;HYPERMART LAMPUNG;MODERN;A;;;1; 1 ; 43.818.353 ; -   ; 43.818.353 
101;BALI;C000059177;HORISON COKROAMINOTO;TRADITIONAL;B1;;;1; 1 ; 315.953.734 ; 115.548.193 ; 431.501.927 
102;BALI;C000059181;KARTIKA ELEKTRONIK/KARTIKA 2;TRADITIONAL;A; 2 ;2;; 4 ; 1.380.860.447 ; 824.919.898 ; 2.205.780.345 
103;BANDUNG;C000059191;JAYA ISTANA;TRADITIONAL;A; 2 ;2;; 4 ; 340.955.985 ; 302.206.437 ; 643.162.422 
104;BALI;C000059196;SUMBER ELECTRONICS;TRADITIONAL;B1;;;1; 1 ; 620.337.094 ; 190.510.357 ; 810.847.451 
105;BALI;C000059197;GALAXY ELECTRONIC;TRADITIONAL;A; 2 ;1;; 3 ; 390.592.503 ; 248.762.214 ; 639.354.717 
106;BANDUNG;C000059222;LOG IN;TRADITIONAL;B1; 5 ;5;; 10 ; 1.831.696.903 ; 1.192.763.525 ; 3.024.460.428 
107;JAKARTA KAM;C000059228;LOTTE MART KELAPA GADING;MODERN;B1;;;1; 1 ; 107.818.690 ; 109.063.398 ; 216.882.088 
108;JAKARTA KAM;C000059243;LOTTE MART MALL GANDARIA CITY;MODERN;B1;;;1; 1 ; 75.773.109 ; 43.428.652 ; 119.201.761 
109;SEMARANG;C000059265;MODERN;TRADITIONAL;A; 2 ;2;; 4 ; 550.748.301 ; 477.248.304 ; 1.027.996.605 
110;SURABAYA;C000059272;ELECTRONIC CITY MALANG TOWN SQUARE;MODERN;D;;;1; 1 ; 19.478.202 ; 27.532.035 ; 47.010.237 
111;BANDUNG;C000059281;NUHUN;TRADITIONAL;A; 1 ;1;; 2 ; 253.692.339 ; 271.893.244 ; 525.585.583 
112;JAKARTA;C000059283;OEY PWEE LIENG/PD.AMZ;TRADITIONAL;A; 2 ;;; 2 ; 447.419.527 ; -   ; 447.419.527 
113;SAMARINDA;C000059308;PERDANA SAMARINDA;TRADITIONAL;A;;;1; 1 ; 150.149.115 ; 171.801.174 ; 321.950.289 
114;SAMARINDA;C000059309;EKA DAYA;TRADITIONAL;A; 1 ;1;; 2 ; 490.482.433 ; 350.544.119 ; 841.026.552 
115;YOGYAKARTA;C000059314;UFO MAGELANG;TRADITIONAL;B1; 4 ;4;; 8 ; 1.300.049.956 ; 1.513.515.815 ; 2.813.565.771 
116;PEKANBARU;C000059315;SAHABAT JAYA SENTOSA (IND);TRADITIONAL;B1; 2 ;2;; 4 ; 530.639.021 ; 361.232.118 ; 891.871.139 
117;SAMARINDA;C000059320;PUTRA NIAGA;TRADITIONAL;B1; 1 ;1;; 2 ; 136.364.465 ; 46.070.831 ; 182.435.296 
118;SAMARINDA;C000059323;NUANSA ELEKTRONIK SAMARINDA;TRADITIONAL;B1; 2 ;3;; 5 ; 450.629.152 ; 540.756.194 ; 991.385.346 
119;SAMARINDA;C000059324;NUANSA BALIKPAPAN;TRADITIONAL;A; 3 ;4;; 7 ; 1.139.069.106 ; 1.388.291.775 ; 2.527.360.881 
120;PEKANBARU;C000059334;BATAM JAYA ELEKTRONIK;TRADITIONAL;A; 1 ;1;; 2 ; 238.200.016 ; 257.877.287 ; 496.077.303 
121;PEKANBARU;C000059335;BATAM CENTRAL ELECTRONIC;TRADITIONAL;A; 1 ;1;; 2 ; 318.891.920 ; 173.188.780 ; 492.080.700 
122;PEKANBARU;C000059336;BATAM ELEKTRONIK;TRADITIONAL;A; 2 ;2;; 4 ; 1.014.476.874 ; 1.050.457.457 ; 2.064.934.331 
123;PEKANBARU;C000059337;SINGAPURA ELEKTRONIK;TRADITIONAL;B1;;;1; 1 ; 120.427.815 ; 167.544.413 ; 287.972.228 
124;BANJARMASIN;C000059348;UFO BANJARMASIN;TRADITIONAL;A; 2 ;2;; 4 ; 573.338.616 ; 372.841.267 ; 946.179.883 
125;MAKASSAR;C000059349;PT.DUTA E.FUTURINDO (DEFO);TRADITIONAL;A;;;1; 1 ; 218.200.248 ; 149.931.843 ; 368.132.091 
126;PEKANBARU;C000059350;GOLGON ELEKTRONIK;TRADITIONAL;A;;;1; 1 ; 329.319.554 ; 249.664.904 ; 578.984.458 
127;SEMARANG;C000059355;MATARAM;TRADITIONAL;A;;;1; 1 ; 279.601.641 ; 185.694.806 ; 465.296.447 
128;SURABAYA;C000059356;PERDANA SURABAYA;TRADITIONAL;A;4;2;; 6 ; 1.450.049.933 ; 598.472.467 ; 2.048.522.400 
129;SURABAYA;C000059357;METRON;TRADITIONAL;B1;1;1;; 2 ; 264.661.669 ; 173.958.830 ; 438.620.499 
130;PEKANBARU;C000059359;MANDAU JAYA;TRADITIONAL;A;;;1; 1 ; 168.073.328 ; 253.656.912 ; 421.730.240 
131;PEKANBARU;C000059362;MULIA ASRI UTAMA;TRADITIONAL;B1;;;1; 1 ; 97.145.928 ; 103.498.013 ; 200.643.941 
132;PEKANBARU;C000059363;MULIA ELEKTRONIK PADANG;TRADITIONAL;B1;2;2;; 4 ; 432.101.655 ; 228.803.549 ; 660.905.204 
133;BANJARMASIN;C000059372;PONDOK ELECTRONICS;TRADITIONAL;B1;3;3;; 6 ; 1.266.959.476 ; 1.113.727.064 ; 2.380.686.540 
134;BALI;C000059385;UFO BALI;TRADITIONAL;B1;2;2;; 4 ; 1.039.912.604 ; 448.034.285 ; 1.487.946.889 
135;MEDAN;C000059394;CENTRAL BATAM RAYA;TRADITIONAL;A;1;2;; 3 ; 477.020.599 ; 397.032.144 ; 874.052.743 
136;JAKARTA;C000059396;USAHA LANCAR;TRADITIONAL;A;2;2;; 4 ; 3.189.605.093 ; 2.713.176.236 ; 5.902.781.329 
137;SURABAYA;C000059398;UFO HR MUHAMMAD;TRADITIONAL;A;2;2;; 4 ; 295.536.421 ; 377.713.997 ; 673.250.418 
138;SURABAYA;C000059399;UFO KERTAJAYA;TRADITIONAL;B1;5;5;; 10 ; 940.858.935 ; 950.160.817 ; 1.891.019.752 
139;BALI;C000059404;BALI ELECTRONICS CENTER;TRADITIONAL;B1;3;2;; 5 ; 1.246.740.433 ; 595.202.481 ; 1.841.942.914 
140;SURABAYA;C000059408;HARTONO BUKIT DARMO;TRADITIONAL;B1;6;6;; 12 ; 2.554.281.679 ; 2.059.706.905 ; 4.613.988.584 
141;SURABAYA;C000059409;HARTONO BG JUNCTION;TRADITIONAL;A;3;3;; 6 ; 1.338.115.902 ; 922.927.226 ; 2.261.043.128 
142;SURABAYA;C000059410;HARTONO S PARMAN MALANG;TRADITIONAL;A;5;5;; 10 ; 2.755.137.993 ; 2.435.060.623 ; 5.190.198.616 
143;SURABAYA;C000059412;HARTONO KERTAJAYA/KTI;TRADITIONAL;B1;7;8;; 15 ; 2.841.188.093 ; 2.687.280.688 ; 5.528.468.781 
144;MANADO;C000059416;PT.LITAN ANUGERAH SARANA E;TRADITIONAL;A;1;1;; 2 ; 147.063.221 ; 239.619.051 ; 386.682.272 
145;MEDAN;C000059432;SH MART ELEKTRONIK;TRADITIONAL;A;2;2;; 4 ; 831.121.127 ; 828.605.366 ; 1.659.726.493 
146;MEDAN;C000059439;SURGA ELECTRONIC NAGOYA HILL;TRADITIONAL;A;2;2;; 4 ; 1.235.859.603 ; 789.954.984 ; 2.025.814.587 
147;MEDAN;C000059442;SURGA ELEKTRONIK KEPRI MALL;TRADITIONAL;B1;;;1; 1 ; 37.954.737 ; 7.892.072 ; 45.846.809 
148;MEDAN;C000059444;DUTA ELEKTRONIK MITRA MALL;TRADITIONAL;A;;;1; 1 ; 96.382.246 ; 250.281.652 ; 346.663.898 
149;MEDAN;C000059445;EXPO ELEKTRONIK;TRADITIONAL;B1;1;1;; 2 ; 220.473.806 ; 427.389.931 ; 647.863.737 
150;SAMARINDA;C000059459;TULUS WIRA KARYA;TRADITIONAL;A;1;1;; 2 ; 164.006.176 ; 222.116.294 ; 386.122.470 
151;SURABAYA;C000059462;UFO KEDIRI;TRADITIONAL;B1;2;2;; 4 ; 612.020.635 ; 482.020.680 ; 1.094.041.315 
152;BALI;C000059469;MELODY;TRADITIONAL;B1;;;1; 1 ; 253.319.830 ; 153.858.131 ; 407.177.961 
153;SURABAYA;C000059473;RINI ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 157.055.211 ; 216.817.666 ; 373.872.877 
154;YOGYAKARTA;C000059480;SATELIT ELEKTRONIK SOLO;TRADITIONAL;B1;;;1; 1 ; 196.993.384 ; 390.310.886 ; 587.304.270 
155;YOGYAKARTA;C000059484;SEMERU ELEKTRONIK;TRADITIONAL;A;3;2;; 5 ; 989.941.522 ; 816.299.474 ; 1.806.240.996 
156;MAKASSAR;C000059486;SENTRAL ELEKTRONIK (IND);TRADITIONAL;B1;1;1;; 2 ; 182.900.556 ; 190.885.761 ; 373.786.317 
157;BANDUNG;C000059488;SERBA AGUNG;TRADITIONAL;A;;;1; 1 ; 153.700.636 ; 82.768.703 ; 236.469.339 
158;BANDUNG;C000059489;SERBA MULIA;TRADITIONAL;A;1;1;; 2 ; 930.417.441 ; 449.665.342 ; 1.380.082.783 
159;SEMARANG;C000059490;GANDRUNG;TRADITIONAL;A;1;1;; 2 ; 281.215.686 ; 261.891.381 ; 543.107.067 
160;BANDUNG;C000059511;SUARA AGUNG BANDUNG;TRADITIONAL;A;;;1; 1 ; 201.221.729 ; 127.394.308 ; 328.616.037 
161;JAKARTA;C000059512;TOKO SUARA GEMBIRA;TRADITIONAL;A;;;1; 1 ; 116.864.089 ; 132.345.285 ; 249.209.374 
162;BALI;C000059521;UD.AWANI ELEKTRONIK/KARTIKA 1;TRADITIONAL;A;;;1; 1 ; 115.918.819 ; 63.568.729 ; 179.487.548 
163;BANDUNG;C000059523;SUMBER AGUNG 1;TRADITIONAL;B1;;;1; 1 ; 457.275.160 ; 181.826.615 ; 639.101.775 
164;SEMARANG;C000059537;TERANG;TRADITIONAL;C2;;;1; 1 ; 90.208.671 ; 112.657.852 ; 202.866.523 
165;MANADO;C000059540;TIARA PALU;TRADITIONAL;B1;1;1;; 2 ; 163.285.430 ; 100.455.151 ; 263.740.581 
166;BALI;C000059541;BINTANG LIMA ELECTRONICS;TRADITIONAL;A;1;1;; 2 ; 178.928.087 ; 281.455.713 ; 460.383.800 
167;JAKARTA;C000059543;TJOENG TJIN FOENG;TRADITIONAL;A;;;1; 1 ; 357.728.089 ; 166.185.229 ; 523.913.318 
168;MANADO;C000059544;TOKO LISTAR PUTERA GORONTALO;TRADITIONAL;B1;2;1;; 3 ; 133.704.742 ; 226.447.201 ; 360.151.943 
169;BANDUNG;C000059563;TOKO SEHATI GARUT;TRADITIONAL;B1;;;1; 1 ; 166.818.898 ; 48.349.402 ; 215.168.300 
170;BANDUNG;C000059567;TOKO SUPER;TRADITIONAL;B1;;;1; 1 ; 79.435.989 ; 92.260.157 ; 171.696.146 
171;BANJARMASIN;C000059583;UFO BANJARBARU;TRADITIONAL;A;1;2;; 3 ; 410.455.178 ; 382.058.374 ; 792.513.552 
172;MEDAN;C000059586;UTAMA ELECTRONIC MEDAN;TRADITIONAL;A;1;1;; 2 ; 394.028.896 ; 471.416.027 ; 865.444.923 
173;MAKASSAR;C000059587;VIRGO;TRADITIONAL;A;1;1;; 2 ; 637.421.260 ; 415.209.410 ; 1.052.630.670 
174;MAKASSAR;C000059590;WINS;TRADITIONAL;B1;;;1; 1 ; 192.237.338 ; 232.161.397 ; 424.398.735 
175;SURABAYA;C000059593;YOTA ELEKTRONIC;TRADITIONAL;A;;;1; 1 ; 131.000.653 ; 185.178.903 ; 316.179.556 
176;JAKARTA;C000060223;PARADISE ELECTRONIC;TRADITIONAL;A;2;2;; 4 ; 2.659.326.986 ; 773.529.283 ; 3.432.856.269 
177;MEDAN;C000060556;RIA JAYA ELEKTRONIK MEDAN;TRADITIONAL;A;1;1;; 2 ; 274.410.663 ; 377.158.449 ; 651.569.112 
178;SEMARANG;C000060696;ADA MAJAPAHIT;TRADITIONAL;A;;;1; 1 ; 65.571.074 ; 113.683.682 ; 179.254.756 
